ID;Weeks;WeekNo;SubWeek;WeekSubWeek;NH4.mM;TIC.ppm.filt;Cl.mM;NO3...mM;PO4..mM;NPOC.ppm;TIC.ppm.unfilt;TOC.ppm.unfilt
AO-W1-1;W1;1;1;W1-1;0,05;51,8;1,48;616;NA;4;44,8;4,7
AO-W1-2;W1;1;2;W1-2;NA;44,8;1574;778;NA;4,4;26,4;5,4
AO-W10-1;W10;10;1;W10-1;NA;60,1;1,17;964;NA;2;63,2;2
AO-W10-2;W10;10;2;W10-2;9;57,1;1013;1174;13;5,2;55,9;4
AO-W10-3;W10;10;3;W10-3;NA;58,2;858;1,23;NA;5;60,4;4,3
AO-W10-4;W10;10;4;W10-4;15;26,4;355;1409;NA;6,4;24,5;6,4
AO-W10-5;W10;10;5;W10-5;19;43,7;508;1406;NA;6,6;NA;NA
AO-W11-1;W11;11;1;W11-1;6;81,2;1174;915;NA;2,9;78,6;2,8
AO-W11-2;W11;11;2;W11-2;NA;NA;NA;NA;NA;NA;NA;NA
AO-W11-3;W11;11;3;W11-3;0,01;19;0,27;551;NA;9,9;24,41;8,1
AO-W12-1;W12;12;1;W12-1;NA;NA;NA;NA;NA;NA;NA;NA
AO-W12-2;W12;12;2;W12-2;NA;NA;NA;NA;NA;NA;NA;NA
AO-W12-3;W12;12;3;W12-3;NA;NA;NA;NA;NA;NA;NA;NA
AO-W12-4;W12;12;4;W12-4;NA;NA;NA;NA;NA;NA;NA;NA
AO-W13-1;W13;13;1;W13-1;NA;NA;NA;NA;NA;NA;NA;NA
AO-W13-2;W13;13;2;W13-2;NA;NA;NA;NA;NA;NA;NA;NA
AO-W13-3;W13;13;3;W13-3;NA;NA;NA;NA;NA;NA;NA;NA
AO-W14-1;W14;14;1;W14-1;NA;NA;NA;NA;NA;NA;NA;NA
AO-W15-1;W15;15;1;W15-1;NA;NA;NA;NA;NA;NA;NA;NA
AO-W2-1;W2;2;1;W2-1;NA;66,7;1604;895;NA;5,8;39;2,7
AO-W2-2;W2;2;2;W2-2;NA;52,1;1238;0,7;NA;3,4;32,3;3,8
AO-W3-1;W3;3;1;W3-1;NA;69,4;1273;1012;NA;9,1;54,8;3,9
AO-W3-2;W3;3;2;W3-2;NA;61,2;1286;1413;NA;5,6;60,1;5
AO-W3-3;W3;3;3;W3-3;NA;73,9;1212;774;NA;1,9;44,64;2,1
AO-W4-1;W4;4;1;W4-1;1;61;1224;0,68;NA;2,8;42,78;1,8
AO-W5-1;W5;5;1;W5-1;9;74,9;1184;816;NA;3,4;51,94;3,7
AO-W5-2;W5;5;2;W5-2;1;73,3;1237;1063;NA;11;50,5;8,2
AO-W6-1;W6;6;1;W6-1;22;68,8;1272;701;NA;5,1;53,1;4,1
AO-W6-2;W6;6;2;W6-2;26;67,3;988;719;NA;5,8;73,2;7,2
AO-W6-3;W6;6;3;W6-3;36;17,8;275;491;NA;9,2;26,3;34,3
AO-W6-4;W6;6;4;W6-4;77;44,4;894;1584;NA;9;49,1;8,9
AO-W7-1;W7;7;1;W7-1;3;73,6;1204;1,21;NA;9,3;74,6;4,3
AO-W8-1;W8;8;1;W8-1;5;80,7;1288;766;NA;3;80,72;4
AO-W9-1;W9;9;1;W9-1;NA;43,3;1146;617;NA;3;46,4;2,6
AO-W9-2;W9;9;2;W9-2;149;40,2;656;1031;NA;6,8;37,4;4,6
AO-W9-3;W9;9;3;W9-3;76;31,9;598;2596;11;7,3;32,6;6,9
AO-W9-4;W9;9;4;W9-4;71;30,7;0,72;2815;NA;7,2;46,8;6,2
AO-W0-1;W0;0;1;W0-1;NA;NA;NA;NA;NA;NA;NA;NA
AO-W0-2;W0;0;2;W0-2;NA;NA;NA;NA;NA;NA;NA;NA
AO-W0-3;W0;0;3;W0-3;NA;NA;NA;NA;NA;NA;NA;NA
AO-W1-3x;W1;1;3x;W1-3x;NA;NA;NA;NA;NA;NA;NA;NA
AO-W2-3x;W2;2;3x;W2-3x;NA;NA;NA;NA;NA;NA;NA;NA
AO-W3-2.1x;W3;3;2.1x;W3-2.1x;NA;NA;NA;NA;NA;NA;NA;NA
AO-W4-2x;W4;4;2x;W4-2x;NA;NA;NA;NA;NA;NA;NA;NA
AO-W5-3x;W5;5;3x;W5-3x;NA;NA;NA;NA;NA;NA;NA;NA
AO-W6-5x;W6;6;5x;W6-5x;NA;NA;NA;NA;NA;NA;NA;NA
AO-W7-2x;W7;7;2x;W7-2x;NA;NA;NA;NA;NA;NA;NA;NA
AO-W8-2x;W8;8;2x;W8-2x;NA;NA;NA;NA;NA;NA;NA;NA
