"","Date","C_t","delta13C_t","f_totC_tC_0","B_lab","B_max","Bstar_lab","Bstar_max","DB_lab","DB_max"
"1","2016-04-05 15:08:00",1.707150777,-29.9666666666667,0.304928139443443,79.9219335374832,71.8474797450716,1.35183159781113,1.06723547195615,-0.260262889535065,-0.0629996600777492
"2","2016-04-14 13:52:00",3.518030954,-31.7666666666667,0.298893719363537,30.7413484326958,25.1729806130801,0.304158388607996,0.240125043637891,2.28776071104459,3.16449690065648
"3","2016-04-18 20:30:00",5.093894891,-31.1,0.432779930002262,56.2286344096619,47.9130385410215,0.986465387399747,0.778788463736643,0.01372031170392,0.284045728158299
"4","2016-04-26 11:50:00",4.697419679,-30.6333333333333,0.39909519206231,68.247866574705,59.5738089261402,1.24892888973272,0.985996491894252,-0.199313901519238,0.0142023914089645
"5","2016-05-03 13:10:00",1.942645207,-29.8333333333333,0.165048135993171,81.6798890619336,73.8120724373706,0.942078104951584,0.743745872330198,0.0614831134955556,0.344545277094371
"6","2016-05-10 00:06:00",2.128457231,-29.35,0.180834821125285,86.856184685995,79.8509871037118,1.18655886103348,0.936756995552749,-0.157226806996318,0.0675127111379971
"7","2016-05-31 12:00:00",2.231496296,-30.5,0.110764179484053,71.0297824248135,62.3967769122502,0.563047162515606,0.444510917775478,0.776050154541509,1.24966352908591
"8","2016-06-07 12:00:00",2.589412953,-29.7,0.128529992005159,83.2837145133935,75.6393260184388,0.87190137711451,0.688343192458824,0.146918706917773,0.452763695429179
"9","2016-06-14 13:06:00",2.912150122,-29.9,0.144549609773457,80.8210728421874,72.8475723254527,0.853797785271181,0.674050883108827,0.171237519294316,0.483567524439467
"10","2016-06-21 12:00:00",3.193455428,-29.5333333333333,0.158512685338248,85.092251138025,77.7448472231796,1.03331761061966,0.81577706101552,-0.0322433395862463,0.225825103190755
"11","2016-06-28 08:56:00",2.556143693,-29.6333333333333,0.126878614724118,84.0321049323737,76.5044831693825,0.888625972675422,0.701546820533228,0.125332851783816,0.4254216122595
"12","Median Early",NA,NA,NA,56.2286344096619,59.5738089261402,0.942078104951584,0.778788463736643,0.0614831134955556,0.284045728158299
"13","Median Late",NA,NA,NA,82.0523936777904,75.6393260184388,0.862849581192846,0.688343192458824,0.159078113106045,0.452763695429179
"14","Median",NA,NA,NA,80.8210728421874,73.3298223814116,0.87190137711451,0.722646346431713,0.146918706917773,0.452763695429179
